pa-tê	(dtừ) terrine.
phẫu thuật căng da mặt	() face-lift.
phẫu thuật cắt ống dẫn tinh	(dtừ) vasectomy.
phẫu thuật chỉnh hình	() orthopedic surgery.
phẫu thuật có tim nhân tạo	() bypass surgery.
phẫu thuật điện	() electrosurgery.
phẫu thuật não	() brain surgery.
phẫu thuật tạo hình	() plastic surgery.
phẫu thuật thẩm mỹ	() xem giải phẫu thẩm mỹ.
phẫu thuật thùy nào	(dtừ) lobotomy.
phẫu thuật tim hở	() open-heart surgery.
phẫu thuật viên	() surgeon.
phẫu thuật viên	() woman surgeon.
phận	() xem thân phận.
phận	() xem số phận.
phận bạc	() unhappy lot.
phận bạc	() misfortune.
phận bồ	() (văn chương) condition of the weaker sex.
phận bồ	() poor liana.
phận hay	() good fortune.
phận hẩm hiu	(ttừ) accursed.
phận làm con	() filial duty.
phận làm trai	(dtừ) sonship.
phận may	(dtừ) hap.
phận mình	() one's own fate, one's own lot.
phận mỏng	() hard fate.
phận mỏng	() thin lot.
phận rủi	(ttừ) accursed.
phận sự	() function.
phận sự	() duty.
phận sự	() obligation.
phập	() deeply.
phập	() (onomatopoeia of a dry sound).
phập phềnh	() cũng như phập phều.
phập phềnh	() float, come to the surface.
phập phều	() xem phập phềnh.
phập phồng	() throb, heave, rise, puff and pant.
phập phồng	() be blown/puffed up, swollen.
phập phồng	() be worried.
phật	(dtừ) buddha.
phật bà	() bodhisattva kwan yin.
phật bà	() goddess of mercy.
phật đài	() buddha's altar (điện phật - chùa quán sứ, điện phật - chùa giác lâm).
phật đản	() buddha's birthday.
phật đường	() pagoda, buddhist temple (chùa láng, chùa báo quốc, chùa cổ lễ).
phật giáo	() buddhism.
phật giáo	() buddhist.
phật giới	() buddhist laws, laws of buddhism.
phật học	() buddhology.
phật lăng	() (từ cũ) xem quan 2.
phật lòng	() cũng như phật ý.
phật lòng	() vex.
phật lòng	() be vexed.
phật lòng	() feeling of offence.
phật môn	() places of buddhism teachings.
phật nhãn	() buddha's eye.
phật pháp	() buddhist law, buddha sasana, dharma.
phật phật	() flutter.
phật phật	() fluttering.
phật quả	() buddhahood.
phật sống	() dalai-lama.
phật sống	() grand lama.
phật tâm	() buddhist nature, kindness.
phật thủ	() buddha's hand, finger citron, digitate citrus fruit.
phật tổ	() the great buddha.
phật tử	() buddhist.
phật tự	() buddhist temple.
phật ý	() xem phật lòng.
phe	() side.
phe	() camp.
phe	() part.
phe	() faction.
phe	() sect.
phe cánh	(dtừ) cũng như phe phái.
phe cánh	(dtừ) faction, side, sect.
phe có hy vọng thắng	(dtừ) band-wagon.
phe đảng	(dtừ) party, faction.
phe đảng nhóm sĩ quan đảo chính	(dtừ) junto.
phe đảo chính	() coup faction.
phe đế quốc	() the imperialist camp.
phe đối lập	(dtừ) opposition.
phe giáp	() factions in village.
phe hữu	(dtừ) right.
phe hữu	(ttừ) right-wing.
phe liên bang	(dtừ) confederacy.
phe ly khai	() splinter group.
phe ly khai	() breakaway group.
phe phái	() (nói chung) camps.
phe phái	() factions.
phe phái	() parties.
phe phái chính trị	() (nói chung) political camps.
phe phái chính trị	() political parties.
phe phái đối lập	() (nói chung) opposition factions.
phe phái đối lập	() opposition camps.
phe phái đối lập	() opposition.
phe phái phản động	() (nói chung) reactionary factions.
phe phản động	(ttừ) right-wing.
phe phẩy	() to flap gently.
phe vé	(đtừ) tout.
phe vé	(ngđtừ) tout.
phen	(dtừ) time, turn.
phéc mơ tuya	() xem khoá kéo.
phép	() xem phép tắc.
phép	() xem phép tính.
phép	() magical power.
phép	() miracle.
phép	() xem phép bí tích.
phép	() method.
phép	() leave.
phép	() permission.
phép	() authorization.
phép	() holiday.
phép	() vacation.
phép	() leave.
phép ánh xạ	(dtừ) mapping.
phép ẩn dụ	(dtừ) metaphor.
phép ban thánh thể	(dtừ) holy sacrament.
phép ban thánh thể	(dtừ) blessed sacrament.
phép ban thánh thể	(dtừ) sacrament.
phép bấm giờ	(dtừ) chronometry.
phép biến đổi	(dtừ) transformation.
phép biện chứng	(dtừ) dialectic.
phép bí tích	() tôn giáo sacrament.
phép bói bài	(dtừ) cartomancy.
phép bơm vào	(dtừ) insufflation.
phép cải dung	(dtừ) synecdoche.
phép cắt âm hộ	() colpotomy.
phép cắt bỏ	() excision.
phép cắt bỏ	() ablation.
phép cắt bỏ	() amputation.
phép cắt bọng đái	() cystectomy.
phép cắt da quy đầu	() circumcision.
phép cấu tạo từ ghép	(dtừ) composition.
phép cầu phương	(dtừ) quadrature.
phép cầu trường được	(dtừ) rectification.
phép chấm câu	(dtừ) punctuation.
phép chẩn đoán	(dtừ) diagnosis.
phép chêm từ	(dtừ) tmesis.
phép chia	() (toán học) division.
phép chiết trung	(dtừ) eclecticism.
phép chiếu	() projection.
phép chiếu trực giao	(dtừ) orthography.
phép chiếu trực giao	(ttừ) orthographic.
phép chính âm	(dtừ) orthoepy.
phép chính tả	(dtừ) orthography.
phép chính tả	(ttừ) orthographic.
phép chuyển nghĩa	(dtừ) trope.
phép chụp ảnh hiển vi	(dtừ) photomicrography.
phép chụp ảnh thiên văn	(dtừ) astrophotography.
phép chụp ảnh từ máy bay	(dtừ) aerophotography.
phép chụp tia x bể thận	(dtừ) pyelography.
phép chữa bằng ánh sáng	(dtừ) heliotherapy.
phép chữa bằng dòng điện một chiều	(dtừ) galvanism.
phép chữa bằng điện	(dtừ) electropathy, electrotherapy.
phép chữa bằng hơi	(dtừ) vaporization.
phép chữa bằng huyết thanh	(dtừ) serotherapy.
phép chữa bằng lao dộng	(dtừ) occupational therapy.
phép chữa bằng nhiệt	(dtừ) thermotherapy.
phép chữa bằng nước	(dtừ) water-cure, hydropathy.
phép chữa bằng phủ tạng	(dtừ) organotherapy.
phép chữa bằng tâm lý	(dtừ) psychotherapy.
phép chữa bằng tia x	(dtừ) radiotherapeutics.
phép chữa bệnh	(dtừ) therapeutics, therapy.
phép chữa bệnh	(ttừ) therapeutic.
phép chữa bệnh bằng ánh sáng	(dtừ) phototherapy.
phép chữa bệnh bằng lòng tin	(dtừ) faith-cure.
phép chữa bệnh bằng nho	(dtừ) grape-cure.
phép chữa bệnh bằng nước	(ttừ) hydropathic.
phép chữa bệnh bằng trò chơi	(dtừ) playtherapy.
phép chữa đối chứng	(dtừ) allopathy, enantiopathy.
phép chữa đối chứng	(ttừ) allopathic.
phép chữa giội nước	(dtừ) affusion.
phép chữa kiêng mỡ đường	(dtừ) banting.
phép chữa mẹo	() allopathy.
phép chữa rơngen	(dtừ) radiotherapeutics.
phép chữa vật lý	(dtừ) physiotherapy.
phép chữa vi lượng đồng căn	(dtừ) homoeopathy.
phép chữa vi lượng đồng căn	(ttừ) homoeopathic.
phép công	() public law.
phép cộng	() (toán học) addition.
phép cưới	() civil marriage.
phép cưới	() marriage procedures.
phép cưới	() leagal wedding.
phép dâng lễ	(dtừ) sacring.
phép diễn dịch	() deductive method.
phép dùng câu đẳng lập	(dtừ) parataxis.
phép dùng tà thuật để chài	(dtừ) voodooism.
phép đánh dấu chấm	(dtừ) punctuation.
phép đảo	(dtừ) inversion, anastrophe.
phép đảo chữ cái	(dtừ) anagram.
phép đảo chữ cái	(ttừ) anagrammatic.
phép đảo từ	(dtừ) hyperbaton.
phép đạc tam giác	(dtừ) triangulation.
phép đẳng cấu	(dtừ) isomorphism.
phép đặt câu	(dtừ) composition.
phép đặt tên	() naming convention.
phép đặt tên	() nomenclature.
phép đặt tên gọi	(dtừ) nomenclature.
phép đếm	(dtừ) numeration.
phép đi qua	(dtừ) way-leave.
phép điều trị bằng hóa học	(dtừ) chemotherapy.
phép điện báo	(dtừ) telegraphy.
phép điện nhiệt	(dtừ) diathermy.
phép điệp vận	() alliteration.
phép định hướng	(dtừ) locality.
phép đo	() measure.
phép đo ẩm	(dtừ) hygrometry.
phép đo ẩm	(ttừ) hygrometric.
phép đo bóng tính giờ	(dtừ) sciagraphy.
phép đo diện tích	(dtừ) planimetry.
phép đo diện tích	(ttừ) planimetric.
phép đo dung tích phổi	(dtừ) spirometry.
phép đo địa chấn	(ttừ) seismometric.
phép đo địa hình	(đtừ) topometry.
phép đo độ cao	(dtừ) hypsometry.
phép đo độ cao	(ttừ) hypsometric.
phép đo độ đường	(dtừ) saccharimetry.
phép đo độ nhạy	(dtừ) sensitometry.
phép đo độ nhớt	(dtừ) viscometry.
phép đo gió	(dtừ) anemometry.
phép đo gió	(ttừ) anemometric.
phép đo góc	(dtừ) goniometry.
phép đo khí	(dtừ) gasometry, eudiometry.
phép đo khoảng cách	(dtừ) tachymetry.
phép đo kiềm	(dtừ) alkalimetry.
phép đo kiềm	(ttừ) alkalimetric.
phép đo liều lượng	(dtừ) dosimetry.
phép đo lường	(dtừ) mensuration.
phép đo lực	(dtừ) dynamometry.
phép đo lực	(ttừ) dynamometric.
phép đo muối	(dtừ) halometry.
phép đo mưa	(dtừ) pluviometry.
phép đo mưa	(ttừ) pluviometric.
phép đo người	(dtừ) anthropometry.
phép đo người	(ttừ) anthropometric.
phép đo nhiệt	(dtừ) thermometry.
phép đo nhiệt cao	(dtừ) pyrometry.
phép đo nhiệt cao	(ttừ) pyrometric.
phép đo nhiệt lượng	(dtừ) calorimetry.
phép đo nhiệt lượng	(ttừ) calorimetric.
phép đo phế dung	(dtừ) spirometry.
phép đo phổ	(dtừ) spectrometry.
phép đo rượu	(dtừ) alcoholometry.
phép đo sáng	(dtừ) photometry.
phép đo sâu	(dtừ) bathymetry.
phép đo sức nghe	(dtừ) audiometry.
phép đo thị lực	(dtừ) optometry.
phép đo thời gian	(dtừ) chronometry.
phép đo tĩnh điện	(dtừ) electrometry.
phép đo tĩnh điện	(ttừ) electrometric.
phép đo tốc độ góc	(dtừ) tachometry.
phép đo tỷ trọng chất nước	(dtừ) hydrometry.
phép đo tỷ trọng chất nước	(ttừ) hydrometric.
phép đo vẽ địa hình	(đtừ) topography.
phép đo vi	(dtừ) micrometry.
phép đo xa	(dtừ) range-finding.
phép đoán mộng	(dtừ) oneirocriticism.
phép đoán mộng	(ttừ) oneirocritical.
phép đoán số tử vi	(dtừ) horoscopy.
phép đọc số	(dtừ) numeration.
phép đố chữ	(dtừ) logogriph.
phép đối chọi	(dtừ) antithesis.
phép đối chọi	(ttừ) antithetic.
phép được lên bờ	(dtừ) shore-leave.
phép ghi âm phổ	(dtừ) spectrophotography.
phép ghi dòng điện	(dtừ) galvanography.
phép ghi gió	(ttừ) anemographic.
phép ghi mạch	(dtừ) sphygmography.
phép ghi mạch	(ttừ) sphygmographic.
phép ghi sắc	(dtừ) chromatography.
phép ghi sắc	(ttừ) chromatographic.
phép giải	() (math) solution.
phép giải ngũ	(dtừ) clearance.
phép hoán xưng	(dtừ) antonomasia.
phép hợp ba phần bạc một phần vàng	(dtừ) quartation.
phép in ảnh chấm	(dtừ) process.
phép in bản đá	(dtừ) typolithography.
phép in ximili	(dtừ) process.
phép khai	(dtừ) extraction.
phép khảo sát bằng kính hiển vi	(dtừ) micrography.
phép khử	() (math) subtraction.
phép khử liên tiếp	(dtừ) exhaustion.
phép kỳ diệu	(dtừ) magic.
phép làm thơ	(dtừ) versification, prosody.
phép làm thơ	(ttừ) prosodiacal.
phép lành	() tôn giáo benediction.
phép lạ	(dtừ) miracle.
phép lặp thừa	(dtừ) tautology.
phép lấy đạo hàm	() (math) derivation.
phép lấy số tử vi	(dtừ) horoscopy.
phép lấy vi phân	(dtừ) differentiation.
phép lên bờ	() shore leave.
phép lịch sự	() the rules of etiquette.
phép lịch sự	() proprieties.
phép lịch sự	() politeness.
phép loại suy	(dtừ) analogy.
phép ma	(dtừ) medicine, diablerie, diabolism.
phép mầu	() miracle, charisma.
phép mở rộng	(dtừ) augmentation.
phép nghe bệnh	(dtừ) stethoscopy.
phép nghiệm ẩm	(dtừ) hygroscopy.
phép nghiệm lạnh	(dtừ) cryoscopy.
phép nghiệm sôi	(dtừ) ebullioscopy.
phép nghỉ	() leave, furlough.
phép nghỉ đẻ	(dtừ) maternity leave.
phép nghỉ ốm	(dtừ) sick-leave.
phép nghịch đảo	(dtừ) inversion.
phép nghịch hợp	(dtừ) oxymoron.
phép ngoa dụ	(dtừ) hyperbolism, hyperbole.
phép ngoại suy	(dtừ) extrapolation.
phép ngụy biện	(dtừ) sophistry.
phép nhà	() family's rule of conduct.
phép nhà	() family way of life.
phép nhân	() (toán học) multiplication.
phép nhân thập nhị phân	(dtừ) duodecimals.
phép nhân trong	(dtừ) inner multiplication.
phép nội suy	(dtừ) interpolation.
phép nội xạ	(dtừ) injection.
phép nuôi động vật	(ttừ) zootechnic.
phép nước	() the law of the land.
phép phát âm đúng	(dtừ) orthoepy.
phép phát âm đúng	(ttừ) orthoepic.
phép phân loại	(dtừ) taxonomy.
phép phân tích	(dtừ) analyses.
phép phân tích điện học	(dtừ) electro-analysis.
phép phân tích trọng lượng	(dtừ) gravimetry.
phép phòng bệnh	(dtừ) prophylaxis.
phép phù thủy	(dtừ) witchery, conjuring, witchcraft, cantrip, sorcery, pishogue.
phép phù thủy	(ttừ) witching.
phép quay	() (matha) rotation.
phép quy về	(dtừ) reduction.
phép rút gọn	(dtừ) reduction.
phép rửa tội	() christening.
phép rửa tội	() baptism.
phép sinh liệu	() biotherapy.
phép soạn kịch	(dtừ) theatre.
phép soi âm đạo	() vaginoscopy.
phép soi bọng đái	() cystoscopy.
phép soi khuẩn	() bacilloscopy.
phép soi máu	() hematoscopy.
phép soi mạch	() angioslogy.
phép soi mũi	(dtừ) rhinoscopy.
phép soi quang tuyến	() actinoscopy.
phép soi tế bào	() cytoscopy.
phép soi trong	(dtừ) endoscopy.
phép suy diễn	() deductive reasoning.
phép sửa âm hộ	() elytoplasty.
phép tắc	() rules and regulations.
phép tắc	() law.
phép thăm bệnh bằng cách sờ	(đtừ) touch.
phép thần diệu	(dtừ) miracle.
phép thần thông	(dtừ) cabbala, thaumaturgy, magic.
phép thần thông	(ttừ) cabbalistic.
phép thoái dần	(dtừ) anticlimax.
phép thôi việc	(dtừ) clearance.
phép thông công	() tôn giáo communion.
phép thu	(dtừ) reception.
phép thuật	() sorcery, witchcraft.
phép tiên	() magical power.
phép tích phân	(dtừ) integration.
phép tính	() xem phép toán.
phép tính biến phân	(dtừ) variational calculus.
phép tính gần đúng	(dtừ) approach.
phép tính nhẩm	(thngữ) mental arithmetic.
phép tính thể tích	(dtừ) cubage.
phép tính tích phân	(dtừ) integral calculus.
phép tính vi phân	() differential calculus.
