ha	() exclamation of joy.
hệ thống phân loại	(dtừ) system.
hệ thống phân phối	() distribution system.
hệ thống phân phối	() distribution channel.
hệ thống phúc lợi xã hội	() welfare state.
hệ thống quản lý cơ sở dữ liệu	() database management system.
hệ thống quân giai	() military hierarchy.
hệ thống ra-đa	(dtừ) radar.
hệ thống rạp hát	(dtừ) circuit.
hệ thống sinh	(ttừ) phylogenetic.
hệ thống sông đào	(dtừ) canalization.
hệ thống sưởi ấm	() heating system.
hệ thống sưởi trung tâm	(dtừ) central heating.
hệ thống tám nốt	(dtừ) octachord.
hệ thống tám nốt	(ttừ) octachordal.
hệ thống tài trợ	() financing system.
hệ thống tăng âm điện tử	(dtừ) public-address system.
hệ thống thần kinh trung ương	(dtừ) central nervous system.
hệ thống thoát nước	() sewage system.
hệ thống thoát nước	() drainage.
hệ thống thông tin	() information system.
hệ thống thông tin mật	(dtừ) grape-vine.
hệ thống thông tin nội bộ	() intranet system.
hệ thống thu thập dữ liệu	() data collection system.
hệ thống thuế	(dtừ) taxation.
hệ thống tiền tệ	(dtừ) coinage.
hệ thống tín hiệu	() signalling system.
hệ thống tín hiệu chặn đường	(dtừ) block-system.
hệ thống tôn giáo	(dtừ) dispensation.
hệ thống tổ chức	(dtừ) formation.
hệ thống tổ chức vệ sinh ở bệnh viện	(dtừ) hospitalism.
hệ thống trọng lượng tơrôi	(dtừ) troy.
hệ thống truyền thanh	(dtừ) public-address system.
hệ thống truyền tin nội bộ bằng loa	(thngữ) intercommunication system.
hệ thống tưới nước	() atering system.
hệ thống tưới nước	() irrigation system.
hệ thống vận tải	() transport network.
hệ thống xa lộ	() highway/motorway/freeway system.
hệ thống xa lộ	() motorway/freeway network.
hệ thống xử lý dữ liệu	() data processing system.
hệ thứ tư	(dtừ) quaternary.
hệ thức	() (toán học) relation.
hệ thực vật	(dtừ) flora.
hệ thực vật	(ttừ) floral.
hệ tiên đề	(dtừ) axiomatics.
hệ tiêu hóa	() digestive tract.
hệ tiêu hóa	() digestive system.
hệ toạ độ	() coordinates.
hệ tộc	() genealogy, family tree.
hệ tộc	() genealogical.
hệ trọng	() important.
hệ trọng	() vital.
hệ trọng	() capital.
hệ tuần hoàn	() circulatory system.
hệ tư tưởng	(dtừ) ideology.
hệ từ	() (triết học, ngôn ngữ học) copula.
hệ văn bản viđêô	() videotex.
hệ vô tính	(dtừ) clone.
hệch	() (xấu) gape.
hệch hạc	() careless, rash.
hệch mồm	() open one's mouth.
hệch mồm	() apape.
hệt	() as like as two peas.
hệt như	(thngữ) for all the world, every inch.
hi hi	() whimper.
hi hí	() titter, giggle, chuckle, snigger (cười hi hí).
hi hữu	() rare, occasional.
hi kỳ	() curious.
hi sinh	() sacrifice.
hi sinh	() sacrifice oneself.
hi vọng	() hope (for.
hi vọng	() to).
hia	(dtừ) mandarin's boots.
hiên	(dtừ) parthouse.
hiên ngang	(ttừ) proud.
hiên ngang	(ttừ) haughty.
hiên trần	(dtừ) stoop.
hiêng hiếng	() xem hiếng (láy).
hiếm	() rare.
hiếm	() scarce.
hiếm	() uncommon.
hiếm	() unusual.
hiếm con	() having few children.
hiếm có	() xem hiếm.
hiếm gì	() there is no shortage of....
hiếm hoi	() xem hiếm.
hiếm khi	() xem ít khi.
hiếm khi xảy ra	(dtừ) infrequence.
hiếm khi xảy ra	(ttừ) infrequent.
hiếm muộn	() having few children.
hiếm thấy	() rare.
hiếm thấy	() uncommon.
hiếm thấy	() unusual.
hiến	() to donate.
hiến	() to devote.
hiến	() to consecrate.
hiến binh	() gendarme (in a capitalist country).
hiến cho	(ttừ) devoted.
hiến cho tôn giáo	(dtừ) oblation.
hiến chương	() charter.
hiến dâng	() to consecrate.
hiến dâng	() to devote.
hiến dâng	() to dedicate.
hiến định	() constitutional.
hiến kế	() to make/offer suggestions (to one's organization... for a better management...).
hiến máu	() to give/donate blood.
hiến pháp	() constitution.
hiến pháp	() constitutional.
hiến pháp cơ bản	(dtừ) magna carta.
hiến pháp hóa	() to constitutionalize.
hiến sinh	() to immolate.
hiến sinh	() to sacrifice.
hiến tặng	() to donate.
hiến thân	() to sacrifice one's life.
hiếng	() cross-eyed.
hiếng	() squint-eyed.
hiếp	() xem hiếp dâm.
hiếp dâm	() to violate.
hiếp dâm	() to rape.
hiếp dâm	() to ravish.
hiếp dâm	() to assault sexually.
hiếp dâm tập thể	() to gang-bang.
hiếp dâm tập thể	() to gang-rape.
hiếp đáp	() xem ăn hiếp.
hiếp tróc	() force, compel, bully.
hiếu	(ttừ) pious.
hiếu	(dtừ) mourning.
hiếu	(đtừ) to have.
hiếu	(đtừ) to like.
hiếu	(đtừ) to be fond of.
hiếu biện	() argumentative.
hiếu chiến	() warlike.
hiếu chiến	() bellicose.
hiếu chiến	() pugnacious.
hiếu chiến	() trigger-happy.
hiếu chủ	() eldest son of a parent whose burial is under way.
hiếu danh	() fame-seeking person.
hiếu dâm	() lustful, lewd, licentious, lascivious.
hiếu dị	() curious.
hiếu dưỡng	() nurse one's parents.
hiếu đạo	() filial piety.
hiếu đễ	() dutiful to one's parents and submissive to one's edder brother.
hiếu động	() active, restless.
hiếu giao	() sociable friendly.
hiếu hảo	() love goodness.
hiếu hạnh	() dutiful (toward one's parents).
hiếu hòa	() xem chủ hòa.
hiếu học	() avid/eager to learn.
hiếu học	() thirsty for knowledge.
hiếu học	() fond of learning.
hiếu học	() studious.
hiếu hữu	() piety and friendliness.
hiếu hỷ	() family business (specifically funeral of one's parents and weddings).
hiếu hỷ	(khẩu ngữ) for form's sake.
hiếu khách	() hospitable.
hiếu khí	() (sinh học) aerobic.
hiếu kỳ	(ttừ) curious.
hiếu kỳ	(ttừ) inquiring.
hiếu liêm	() honorary title given to a licentiate.
hiếu lộng	() eager for amusement.
hiếu lợi	() avaricious, grasping, greedy.
hiếu nghĩa	() dutiful and loyal.
hiếu nữ	() pious girl, nice girl.
hiếu phục	() mourning clothes.
hiếu sắc	() fond of beautiful women.
hiếu sinh	() kind to animals, reluctant to kill animals.
hiếu sự	() fond of contriving unnecessary things, showing undue zeal.
hiếu tâm	() filial piety.
hiếu thảo	() xem có hiếu.
hiếu thắng	() xem háo thắng.
hiếu thuận	() như hiếu đễ.
hiếu thượng	() love, desire.
hiếu tình	() filial piety and love for one's parents.
hiếu tử	() dutiful child.
hiếu tửu	() like alcohol.
hiềm	() be in feud.
hiềm khích	() hate, be at olds with.
hiềm kỵ	() hatred, aversion.
hiềm nghi	() to suspect.
hiềm oán	(đtừ) to bear a grudge.
hiềm thù	() nurture long-stading resentment.
hiềm tị	() hate.
hiềm tị	() hatred, resentment.
hiềm vì	() but infortunately.
hiền	() meek.
hiền	() gentle.
hiền	() virtuous.
hiền dịu	(dtừ) dove.
hiền đệ	() (từ nghĩa cũ) dear brother (used as adress to a youger brother or friend).
hiền điệt	() (literary) you (my gentle nephew).
hiền đức	() gentleness and virtue (thường nói về người phụ nữ).
hiền giả	() wise person.
hiền giả	() sage.
hiền hậu	() gentle and righteous.
hiền hậu như cha	(ttừ, phó từ) fatherly.
hiền hòa	() mild.
hiền hòa	() meek.
hiền huynh	() (từ nghĩa cũ) dear brother (used as adress to an elder brother of friend).
hiền hữu	() (từ-nghĩa cổ) dear friend.
hiền khô	() not to hurt a fly.
hiền khô	() not to harm a fly.
hiền lành	() good-natured.
hiền lành ngoan ngoãn	(thngữ) like a lamb.
hiền lương	() good, nice, decent.
hiền mẫu	() virtuous mother.
hiền mẫu	() kind mother.
hiền mẫu	() good mother.
hiền minh	() wise and clearsighted.
hiền muội	() (từ nghĩa cũ) dear sister (used as address to a youger sister or friend).
hiền năng	() virtuous and talented.
hiền nhân	() saage, wise person.
hiền nhân quân tử	() an upright gentleman, a true gentleman.
hiền như bụt	() xem hiền khô.
hiền nội	() good wife, good housewife.
hiền nữ	() virtuous woman.
hiền sĩ	(dtừ) talented and virtous man.
hiền tài	() talented and righteous.
hiền tế	() (từ nghĩa cũ) dear son-in-law.
hiền thần	() talented and righteous subject.
hiền thê	() virtuous wife.
hiền triết	(dtừ) sage.
hiền triết	(dtừ) philosopher.
hiền từ	(ttừ) indulgent.
hiểm	(ttừ) dangerous.
hiểm	(ttừ) perilous.
hiểm ác	(ttừ) wicked.
hiểm địa	() place full of obstacles and difficult of access.
hiểm độc	(ttừ) perfidious.
hiểm hoạ	() danger.
hiểm hoạ	() peril.
hiểm hoạ	() disaster.
hiểm hóc	() devilish.
hiểm hóc	() thorny.
hiểm nghèo	() dangerous.
hiểm nghèo	() deadly.
hiểm nghèo	() mortal.
hiểm nghèo	() fatal.
hiểm nghèo	() life-threatening.
hiểm nguy	() xem nguy hiểm.
hiểm sâu	() shrewd and obnoxious.
hiểm trở	() full of obstacles and difficult of access.
hiểm tượng	() dangerous symptom.
hiểm tượng	() danger, peril.
hiểm yếu	() important and very difficult of access (nói về địa thế).
hiển danh	() become famous, be well-known.
hiển diện	() appear, appear clearly.
hiển diện	() explicit.
hiển đạo	() pious, be devout.
hiển đạt	() make one's way in life, achieve a high position in society.
hiển hách	(ttừ) brilliant.
hiển hách	(ttừ) glorious.
hiển hách	(ttừ) splendid.
hiển hiện	() appear in clear vision, appear most visibly, appear vididly, be unmistaably clear.
hiển linh	() (turn out be) awe-inspiringly powerul (nói về thần thánh).
hiển lộ	() be ostensible.
hiển minh	() clear-cut, unequivocal, unmistakable.
hiển nguyện	() solemn oath.
hiển nhiên	() evident.
hiển nhiên	() self-evident.
hiển nhiên	() obvious.
hiển nhiên	() patent.
hiển thánh	() become a genie, achieve sainthood.
hiển thị	() (tin học) to display.
hiển vi	() microscopic.
hiển vinh	() như vinh hiển.
hiểu	() to grasp.
hiểu	() to comprehend.
hiểu	() to understand.
hiểu bằng cách ra hiệu môi	(dtừ) lip-reading.
hiểu bằng cách ra hiệu môi	(đtừ) lip-read.
hiểu biết	() knowledge.
hiểu biết	() learning.
hiểu biết nghèo nàn	(dtừ) rushlight.
hiểu biết nhiều	(dtừ) reading.
hiểu biết qua	(dtừ) idea.
hiểu biết qua loa	(dtừ) inkling.
hiểu biết qua trực giác	(dtừ) intuition.
hiểu biết rộng	(ttừ) intellectual.
hiểu biết sâu sắc	(dtừ) insight.
hiểu biết về kỹ thuật	(dtừ) expertness.
hiểu biết về ma quỷ	(dtừ) diablerie.
hiểu biết vụn vặt	(dtừ) snippet.
hiểu cách ra hiệu môi	(dtừ) lip-reading.
hiểu cách ra hiệu môi	(đtừ) lip-read.
hiểu dụ	() (từ nghĩa cũ)(cũng nói hiểu thị) make clear something to the people (nói về quan lại).
hiểu điều phải trái	(dtừ) nous.
hiểu được	(dtừ) conceivability, comprehensibility.
hiểu được	(ngđtừ) get, catch.
hiểu được	(nđtừ) come.
hiểu được	(thngữ) get the idea, to catch on.
hiểu được	(ttừ) graspable, comprehensible, conceivable.
hiểu được hoàn toàn	(ttừ) crystal clear.
hiểu được thực chất của vấn đề gì	(thngữ) to get to the back of something.
hiểu hết	(ngđtừ) rumble.
hiểu ít	(ttừ) incomprehensive.
hiểu kém	(ttừ) incomprehensive.
hiểu kịp	(ngđtừ) follow.
hiểu là	(ngđtừ) take.
hiểu lầm	() to misunderstand.
hiểu lầm	() to misconceive.
hiểu lầm	() to misapprehend.
hiểu lầm	() to misjudge.
hiểu lầm	() to mistake.
hiểu lầm	() to misinterpret.
hiểu lầm	() to get somebody wrong.
hiểu lầm	() misapprehension.
hiểu lầm	() misunderstanding.
hiểu lầm hiện thời	(thngữ) when the dust has settled.
hiểu lầm nhau	(thngữ) to be at cross purposes.
hiểu lầm rắc rối	(dtừ) imbroglio.
hiểu lẽ phải	(dtừ) sensibleness.
hiểu lẽ thường	(dtừ) nous.
hiểu lệch	() to take something amiss.
hiểu lý lẽ	(dtừ) marble.
hiểu ngầm	() implicit.
hiểu ngầm	() tacit.
hiểu ngầm	() read between the lines.
hiểu nhau	(dtừ) understanding, fellow-feeling.
hiểu nhầm	(ngđtừ) sophisticate.
hiểu nhầm	(thngữ) to spell backward.
hiểu ra	() to figure out.
hiểu rõ	() to know thoroughly/inside out.
hiểu rõ được	(ttừ) apprehensible.
hiểu rõ giá trị	(dtừ) appreciation.
hiểu rõ giá trị	(ngđtừ) appreciate.
hiểu rộng	(ttừ) deep-read.
hiểu sai	() xem hiểu lầm.
hiểu sâu	() know deeply.
hiểu sơ	() understand roughly.
hiểu thấu	() understand thoroughly.
hiểu thấu được bên trong sự vật	(dtừ) insight.
hiểu theo nghĩa đen	(ngđtừ) literalize.
hiểu thị	() (từ nghĩa cũ) như hiểu dụ.
hiểu tường tận	(ttừ) great.
hiểu ý	() know meaning, wish, or intention.
hiểu ý thức	(dtừ) unconsciousness.
hiện	() to appear.
hiện	() to turn up.
hiện	() (nói về ma quỷ) to manifest.
hiện	() now.
hiện	() present.
hiện có	() existing.
hiện còn	(ttừ) extant.
hiện diện	() xem có mặt.
hiện dịch	() on active duty/service.
hiện đại	() state-of-the-art.
hiện đại	() up-to-date.
hiện đại	() modern.
hiện đại hóa	() to modernize.
hiện đại hóa vũ khí	(dtừ) rearmament.
hiện đại hóa vũ khí	(ngđtừ) rearm.
hiện đại luận	() actualism.
hiện giờ	() at present.
hiện giờ	() now.
hiện giờ	() at the present time.
hiện hành	() in force.
hiện hành	() current.
hiện hình	() to appear.
hiện hình yêu ma	(dtừ) vision.
hiện hồn	(đtừ) conjure.
hiện hữu	() to exist.
hiện hữu	() available.
hiện hữu	() existing.
hiện kim	() cash.
hiện kim bảo chứng	() reserve fund.
hiện lên	() to appear.
hiện lên	() to manifest itself.
hiện nay	() current.
hiện nay	() present.
hiện nay	() now.
hiện nay	() at present.
hiện nay	() nowadays.
hiện nay	() today present state of affairs?.
hiện ngoài	(ttừ) apparent.
hiện ra	() to appear.
hiện ra	() to turn up.
hiện ra	() to manifest.
hiện ra lờ mờ	(nđtừ) loom.
hiện ra lù lù	(nđtừ) loom.
hiện ra mờ mờ	(nđtừ) gloom.
hiện ra to lớn	(nđtừ) loom.
hiện sinh	() (triết học) existentialism.
hiện tại	() present.
hiện tại	() current.
hiện tại	(dtừ) ở thì hiện tại/tương laiverb in the present/future tense.
hiện tại	(dtừ) present.
hiện thân	() personification.
hiện thân	() embodiment.
hiện thân	() incarnation.
hiện thân của	(ngđtừ) incarnate.
hiện thân của chúa	(dtừ) incarnation.
hiện thân mới	(dtừ) rebirth.
hiện thời	() current.
hiện thời	() present.
hiện thực	() realistic.
hiện thực	() reality.
hiện thực hơn	(ngđtừ) out-zola.
hiện tiền	() in front of one.
hiện tình	() present/current state.
hiện trạng	() actual state.
hiện trạng	() actuality.
hiện trạng	() status quo.
hiện trường	() scene (of a crime, accident...).
hiện trường	() locale.
hiện tượng	() phenomenon.
hiện tượng áp điện	(dtừ) piezoelectricity.
hiện tượng ảo	() false appearances.
hiện tượng âm học	() acoustic phenomena.
hiện tượng băng tan	(dtừ) dôbậcle.
hiện tượng biến âm sắc	(dtừ) ablaut, umlaut, modification.
hiện tượng biến chất đới sâu	(dtừ) katamorphism.
hiện tượng biến dưỡng	() metabolism.
hiện tượng biến tiếp	(dtừ) transgression.
hiện tượng bỏ nguyên âm	(dtừ) prodelision.
hiện tượng cảm ứng	(dtừ) induction.
hiện tượng chêm âm	(dtừ) epenthesis.
hiện tượng chuyển đổi	(dtừ) ablaut.
hiện tượng dị hóa	() catabolism.
hiện tượng điện chuyển	(dtừ) electrophoresis.
hiện tượng điện phân	(dtừ) electrolysis.
hiện tượng điện từ	(dtừ) electromagnetism.
hiện tượng đồng phân	(dtừ) isomerism.
hiện tượng đổi chỗ	(dtừ) metathesis.
hiện tượng động đất	(dtừ) seismism.
