ka ki	() khaki.
khiếp đảm	() be frightened to death.
khiếp đởm	() (địa phương) như khiếp đảm.
khiếp nhược	() cowardly.
khiếp phục	() awed into submission.
khiếp quá	(thán từ) yuck.
khiếp sợ	() terrified.
khiếp sợ	() panic-stricken.
khiếp sợ	() terror-stricken.
khiếp sợ bỏ chạy	(dtừ) dôbậcle.
khiếp vía	() terrified.
khiếp vía	() panic-stricken.
khiếp vía	() terror-stricken.
khiết bạch	() pristine whiteness.
khiếu	(dtừ) gift.
khiếu	(dtừ) talent.
khiếu	(dtừ) instinct.
khiếu nại	() to lay/file/lodge a complaint.
khiếu nại	() to complain.
khiếu nại	() to appeal.
khiếu nại bổ sung	() supplementary claim.
khiếu nại đòi bồi thường	() claim for compensation/damages.
khiếu nại hợp lý	() fair claim.
khiếu nại hợp lý	() reasonable claim.
khiếu nại vô căn cứ	() false claim.
khiếu nại vô căn cứ	() unjustified complaint.
khiếu oan	() request attention of the authorities to an injusttice, claim one's innocence.
khiếu thẩm mỹ	() esthetic sense/flair.
khiếu thẩm mỹ	() taste.
khiếu tố	() to complain and denounce.
khiền	() (thông tục) chide, scold.
khiển	() order, command.
khiển	() reprove, rebuke.
khiển dụ	() pull, attract, act upon.
khiển dụng	() disposable, available.
khiển hệ	() operating system (hệ điều khiển).
khiển hình	() punishment by exile.
khiển hứng	() arouse interest.
khiển hứng	() rouse oneself.
khiển hứng	() cheer up.
khiển muộn	() (cũ) dispel one's sorrow.
khiển phái	() direct, dispatch.
khiển sai	() dispatch.
khiển sử	() to order, command, control.
khiển trách	(đtừ) to blame.
khiển trách	(đtừ) to reprimand.
khiển trách	(đtừ) to chide.
khiển trách nặng nề	(thngữ) a flea in one's ear.
khiễng	() limp.
khin khít	() xem khít (láy).
khinh	() to scorn.
khinh	() to disdain.
khinh	() to despise.
khinh	() to contemn.
khinh ai	(thngữ) to hold someone cheap.
khinh bạc	(ttừ) thoughtless.
khinh binh	() light infantry.
khinh bỉ	() to disdain.
khinh bỉ	() to scorn.
khinh bỉ	() to despise.
khinh bỉ	() contemptuous.
khinh bỉ	() supercilious.
khinh bỉ	() scornful.
khinh bội	() delinquency.
khinh cấm	() confinement to quarters, open arrest.
khinh dể	() như khinh thường.
khinh dị	() underestimate, underrate.
khinh địch	() under - rate, underestimate the enemy.
khinh động	() act recklessly.
khinh ghét	() despise and hate.
khinh giảm	() alleviate.
khinh hạm	() vedette-boat.
khinh hình	() light sentence.
khinh hốt	() neglect.
khinh khi	() như khinh dể.
khinh khí	(dtừ) hydrogen.
khinh khí cầu	(dtừ) balloon, airship.
khinh khích	() như khúc khích giggle.
khinh khỉnh	() disdainful.
khinh khỉnh	() supercilious.
khinh khỉnh	() contemptuous.
khinh khỉnh	() priggish.
khinh kỵ	() light cavalry.
khinh kỵ binh	() light cavalry.
khinh mạn	() be proud and impertiment toward one's superiors.
khinh miệt	() think little and scorn.
khinh người	() contemptuous.
khinh nhờn	() show disrespect.
khinh pháo	() light artillery.
khinh rẻ	() xem khinh thường.
khinh suất	() hare-brained, rash.
khinh tài	() despise wealth, despise riches.
khinh thị	() despise, think very little of.
khinh thường	() to feel contempt.
khinh thường	() to despise.
khinh thường	() to disdain.
khinh thường	() to contemn.
khinh thường	() to scorn.
khinh tội	() petty/minor offence.
khinh tội	() delict.
khinh tội	() misdemeanour.
khinh trọng	() light or heavy, inportant or not.
khinh xa	() light vehicle, light tank.
khí	() gas.
khí	() air.
khí	() sperm.
khí áp	() atmospheric pressure.
khí áp kế	() barometer.
khí áp kế	() air-gauge.
khí áp ký	() barograph.
khí áp trắc đạc	() barometry.
khí âm tự	() aspirate.
khí bào	() air cell, air bladder.
khí bẩm	() innate character, inborn character, natural disposition.
khí cacbonic	() carbon dioxide.
khí cách	() charater.
khí căn	() air root.
khí cầu	(dtừ) balloon.
khí cầu	(dtừ) air-ship.
khí cầu có dây buộc	(dtừ) captive balloon.
khí cầu do thám	(dtừ) kite-balloon.
khí cầu đo gió	(dtừ) pilot-balloon.
khí cầu học	(dtừ) aerostatics.
khí cầu nhỏ	(dtừ) blimp.
khí cầu thám không	(dtừ) sausage.
khí cầu thăm dò	(dtừ) sounding-balloon.
khí cầu zepơlin	(dtừ) zeppelin.
khí chất	() stuff.
khí chất	() makings.
khí công	() (thể̉thao) qi gong.
khí cốt	(dtừ) gait, carriage, figure.
khí cơ	() steam engine.
khí cụ	(đtừ) tool.
khí cụ	(đtừ) untensil.
khí cụ	(đtừ) instrument.
khí cụ bơm	(dtừ) insufflator.
khí cụ máy	() power tool, mechanical appliances.
khí cụ quang học	() optical instruments.
khí cục	() nature.
khí cục	() character.
khí dẫn	() aerotropism.
khí dung	() aerosol.
khí đạo	() respiratory tract.
khí đỉnh	() airship or dirigible.
khí độ	() self-control, selfmastery, selfrestraint.
khí độc	() toxic gas.
khí độc	() poison gas.
khí động	() pneumatic.
khí động học	() aerodynamics.
khí động lực học	(dtừ) aerodynamics.
khí gây nổ	() detonating gas.
khí gió	() how naughty! (tiếng rủa một cách thân mật).
khí giới	(dtừ) arms.
khí giới	(dtừ) weapon.
khí giời	() atmospheric air, weather.
khí hạo nhiên	() the natural greatness of a soul.
khí hậu	(dtừ) climate.
khí hậu học	(dtừ) climatology.
khí hậu trị liệu	() air-cure.
khí hêli	(dtừ) helium.
khí hiếm	() rare gas.
khí hóa	() gasify.
khí huyết	() blood, vitality.
khí huyết	() line of descent, ancestry.
khí huyết phương cương	(ttừ) full-blooded.
khí hư	() leucorrhoea.
khí khá	() passable.
khí khái	() mettlesome.
khí khó	() rather/a bit difficult.
khí không màu	() colourless gas.
khí khổng	(dtừ) stoma.
khí kripton	(dtừ) krypton.
khí lạnh	() cold air.
khí lạnh	() a little cold.
khí lượng	() capacity.
khí lượng học	() aerometry.
khí lượng kế	() aerometer.
khí lực	(dtừ) vital force.
khí lực	(dtừ) vitality.
khí lực hóa	(dtừ) pneumatics.
khí lực học	() pneumatics.
khí lý tưởng	() ideal gas.
khí mát	() cool air.
khí mê tan	(dtừ) fire-damp, methane.
khí mêtan	(dtừ) marsh gas.
khí mỏ	() choke-damp.
khí nén	() compressed air.
khí nhạc	() instrumental music.
khí nhiên kế	() eudiometer.
khí nóng	(dtừ) hot air.
khí nổ	() explosive gas.
khí ozon	(dtừ) ozone.
khí phách	(dtừ) sence of perposes and uprightness, stuff, stamp.
khí quan	() organ.
khí quản	(dtừ) windpipe, trachea.
khí quyển	() atmosphere.
khí quyển điện	() atmospheric electricity.
khí quyển quả đất	() earth's atmosphere.
khí sắc	() mien, complexion.
khí sinh	() aerial.
khí số	() destiny, fate.
khí tài	() material.
khí tài	() equipment.
khí tê	(dtừ) gas, laughing-gas.
khí tê	(thngữ) nitrous oxide.
khí than	(dtừ) producer gas.
khí than đá	(dtừ) coal-gas.
khí than ướt	(thngữ) carburetted water gas.
khí thải	() exhaust fumes.
khí thắp	(dtừ) gas.
khí thế	() impetus, momentum.
khí thế cách mạng	() revolutionary pride or ardour.
khí thế quần chúng	() enthusiasm among the people.
khí thiêng	() soul brave soul.
khí thũng	() emphysema.
khí thũng	() emphysematous.
khí tiết	() sense of purpose and uprightness.
khí tĩnh học	() aerostatics.
khí trơ	() inert gas.
khí trời	() air, atmosphere.
khí tượng	() meteorological.
khí tượng đồ	() weather map.
khí tượng đồ	() meteorological chart.
khí tượng học	() meteorology.
khí tượng học thiên thể	(dtừ) astrometeorology.
khí tượng thủy văn	() hydrometeorology.
khí tự nhiên	() natural gas.
khí vật	() cast-offthing, cast-off, waste.
khí vị	() flavour, taste (of a dish).
khí xa	() antomobile, car.
khí xenon	(dtừ) xenon.
khía	(dtừ) angle.
khía	(dtừ) aspect.
khía cạnh	() respect.
khía cạnh	() aspect.
khía cạnh	() side.
khía dẫn dầu	() oil groove.
khía đường rãnh	(ngđtừ) slot.
khía lá	() incisions, marginal notches on leaves.
khía quả bưởi	() cut grapefruit into slices.
khía răng cưa	(dtừ) indentation, indent.
khía răng cưa	(ngđtừ) engrail.
khía răng cưa	(ttừ) toothed.
khía tai bèo	(ttừ) crenated.
khía thành răng cưa	(dtừ) serration.
khích	() provoke.
khích bác	() vex, nettle.
khích dâm	() aphrodisiac.
khích dục	() aphrodisiac.
khích động	(đtừ) to excite.
khích động mạnh	(ngđtừ) inflame.
khích động mạnh	(ttừ) galvanic.
khích động phong trào chống đối	(dtừ) incendiarism.
khích động quá độ	(ngđtừ) overexcite.
khích động quần chúng	(dtừ) agitation.
khích lệ	(đtừ) to encourage.
khích lệ	(đtừ) to foster.
khích nộ	() exacerbate.
khích phẫn	() cause outrage.
khích thích	() stimulate.
khít	(ttừ) close.
khít	(ttừ) tight.
khít	(ttừ) next to.
khít	(ttừ) close by.
khít khao	() well-jointed.
khít khịt	() close-fitting.
khít lại	(nđtừ) tighten.
khít lại	(thngữ) to close up.
khíu	() stich summarily.
khì	() uconscious, quite.
khì	() (khì khì)(láy, ý tăng).
khì khì	() xem khì (láy).
khìn khịt	() xem khịt (láy).
khỉ	(dtừ) monkey.
khỉ aiai	(dtừ) aye-aye.
khỉ dữ	(dtừ) mandrill.
khỉ đàn	() macaco (monkey).
khỉ đầu chó	() cynocephalus.
khỉ đầu chó a-bi-xi-ni	(dtừ) hamadryad.
khỉ độc	() gorilla.
khỉ đột	() (cũng nói) khỉ độc gorilla.
khỉ đuôi	(dtừ) talapoin.
khỉ đuôi dài	(dtừ) entellus.
khỉ đuôi sóc	(dtừ) marmoset.
khỉ già	() old monkey! (tiếng rủa của người có tuổi).
khỉ gió	() như khí gió.
khỉ gôrila	(dtừ) gorilla.
khỉ hình người	(dtừ) ape.
khỉ không đuôi	(dtừ) ape.
khỉ mốc	() not a darin thing (có khỉ mốc).
khỉ mũ	(dtừ) sapajou, toque, capuchin.
khỉ mũi dài	(dtừ) nose-ape, proboscis-monkey.
khỉ nhân hình	(thngữ) ape-man.
khỉ nhện	(dtừ) spider-monkey.
khỉ quá	() darn it.
khỉ rú	(dtừ) howler.
khỉ sóc	(dtừ) squirrel-monkey.
khỉ vàng	() rhesus monkey.
khịa	() strike (khịa cho).
khịt	() sniff.
khịt	() (khìn khịt)(láy, ý liên tiếp).
khịt khịt	(nđtừ) sniff.
khịt khịt mũi	(đtừ) snort.
khịt khịt mũi tỏ vẻ	(đtừ) snort.
khịt mũi	() sniff, snuffle, blow the nose.
kho	() xem nhà kho.
kho	() to cook with brine.
kho báu	() treasure.
kho bạc	(dtừ) treasury.
kho bạc quốc gia	(dtừ) exchequer.
kho cảng	() dock warehouse.
kho châu báu hoàng gia	(dtừ) jewel-house.
kho chìm	() underground warehouse.
kho chuyển tiếp	() storage in transit, transit point, transit warehouse.
kho chuyển vận	() transit shed.
kho chứa	() storage, storehouse.
kho chứa hàng	(dtừ) godown.
kho chứa vũ khí đạn dược	(dtừ) arsenal.
kho công	() public warehouse.
kho công binh	() engineer depot.
kho cung cấp	(dtừ) supply.
kho của quý	(dtừ) treasure.
kho dã chiến	() field depot.
kho dầu	() pol depot, oil storage.
kho dược phẩm	(dtừ) pharmacopoeia.
kho dự trữ	() storage depot, storage area, storage dump.
kho đạn	() ammunition depot/dump.
kho đạn	() cartridge/ammunition store.
kho đạn	() munitions dump.
kho đạn	() powder-magazine.
kho để hàng hóa chuyên chở	(dtừ) freight house.
kho gửi bán	() consignment warehouse.
kho hàng	() warehouse.
kho hàng	() entrepôt.
kho hàng	() goods/freight depot.
kho hàng đồ gỗ	(dtừ) pantechnicon.
kho hàng gửi bán	() consignment warehouse.
kho hàng lớn	(dtừ) cornucopia.
kho hải quan	() customs warehouse.
kho hải quan	() bonded warehouse.
kho khó	() xem khó (láy).
kho lạnh	(dtừ) cold storage.
kho lúa	() granary.
kho lúa	() paddy storehouse.
kho lương thực	(dtừ) commissary.
kho ngầm	() underground godown.
kho nhà bếp	(dtừ) servery.
kho nổi	() surface godown.
kho nội địa	() inland warehouse.
kho nợ thuế	() bonded warehouse.
kho phân phối	() distribution depot.
kho phụ	() subdepot.
kho quá cảnh	() transit warehouse.
kho quân cụ	() ordnance depot.
kho quân đội	() army depot.
kho quân lương	() xem kho thóc.
kho quân nhu tạm thời	(dtừ) dump.
kho riêng	(dtừ) fisc.
kho rượu	(dtừ) cellar.
kho súng	(dtừ) magazine.
kho tài liệu thu thập được	(dtừ) hoard.
kho tàng	() treasure.
kho than	(dtừ) bunker.
kho than dưới hầm tàu	(dtừ) coal-bunker.
kho thóc	(dtừ) barn.
kho thóc	(dtừ) granary.
kho thuốc nổ	(dtừ) magazine.
kho thuốc súng	(dtừ) powder-magazine.
kho tích trữ	(dtừ) hoard.
kho tư nhân	() privately owned warehouse.
kho vũ khí	() arms depot.
kho vũ khí	() magazine.
kho vũ khí	() armoury.
kho xăng nhớt	() fuel dump.
kho xếp hàng	(dtừ) stowage.
khoa	() science.
khoa	() faculty.
khoa	() ward.
khoa bào chế	() pharmacology.
khoa bản đồ	() cartography.
khoa bảng	() (cũ)(system of) competition-examinations.
khoa bảng	() laureate in former competition-examinations.
khoa bệnh đàn ông	() andrology.
khoa bệnh tuổi già	(dtừ) geriatry.
khoa bệnh tuổi già	(ttừ) geriatric.
khoa bì	() exaggerate, magnify, make oneseft appear taller.
khoa bó xương	() orthopedics.
khoa bói chim	(dtừ) ornithomancy.
khoa bò sát	(dtừ) herpetology.
khoa bổ túc	() advance training.
khoa cá	(dtừ) ichthyology.
khoa cá	(ttừ) ichthyologic.
khoa cây quả	(dtừ) pomology.
khoa châm cứu	() acupuncture.
khoa chấn thương	(dtừ) traumatology.
khoa chất độc	(đtừ) toxicology.
khoa chất độc	(ttừ) toxicological.
khoa chính âm	(dtừ) orthoepy.
khoa chỉnh hình	(dtừ) orthopaedy.
khoa chỉnh hình	(ttừ) orthopaedic.
khoa cử	() (cũ) system of former competition-examinations.
khoa da liễu	() dermatology and venerology.
khoa danh	() laureate.
khoa dinh dưỡng	(dtừ) dietetics, nutrition.
khoa dinh dưỡng ăn chay	(dtừ) macrobiotic.
khoa dinh dưỡng ăn chay	(ttừ) macrobiotic.
khoa du hành vũ trụ	(dtừ) cosmonautics.
khoa du hành vũ trụ	(ttừ) cosmonautic.
khoa đại	() (cũ) vaunt, boast.
khoa đầu tiễn túc	() bare - headed and bare - footed.
khoa đẩu	() tadpole.
khoa đẻ	() labour ward.
khoa địa chất	(dtừ) geology.
khoa địa chính trị	(dtừ) geopolitics.
khoa địa động lực	(dtừ) geodynamics.
khoa địa kiến tạo	(dtừ) geotectonics.
khoa địa lý	(dtừ) geography.
khoa địa vật lý	(dtừ) geophysics.
khoa định vị rađiô	(dtừ) radiolocation.
khoa đo đạc	(dtừ) geodesy.
khoa đo độ cao	(dtừ) hypsography.
khoa đo lường	(dtừ) metrology.
khoa đo lường	(ttừ) metrological.
khoa đo nghiệm tinh thần	(dtừ) psychometry.
khoa đo nghiệm tinh thần	(ttừ) psychometric.
khoa động vật thân mềm	(dtừ) conchology.
khoa đỡ đẻ	() obstetrics.
khoa đường đạn	(dtừ) ballistics.
khoa đường đạn	(ttừ) ballistic, ballistic missile.
khoa gây mê	() anesthesiology.
khoa giáo	() như khoa bảng.
khoa giáp	() laureate.
khoa giải phẫu	(dtừ) anatomy.
khoa giải phẫu	(ttừ) anatomical.
khoa giải phẫu động vật	(dtừ) zootomy.
khoa giải phẫu thần kinh	(dtừ) neurosurgery.
khoa giải phẫu thần kinh	(ttừ) neurosurgical.
khoa giun sán	(dtừ) helminthology.
khoa hán học	(dtừ) sinology.
khoa hình phạt	(dtừ) penology.
khoa hình thái cơ quan	(dtừ) organography.
khoa hoa liễu	(dtừ) venereology.
khoa hoạn	() mandarinhood.
khoa học	() science.
khoa học	() scientific.
khoa học	() scientifically.
khoa học bảo tàng	(dtừ) museology.
khoa học chiến lược	(dtừ) strategics.
khoa học chính trị	() political sciences.
khoa học chính trị	() politics.
khoa học chính xác	() exact sciences.
khoa học gia	() xem nhà khoa học.
khoa học hiện đại	() modern science.
khoa học hình sự	() criminal science.
khoa học huyền bí	() occult sciences.
khoa học kinh tế	() xem kinh tế học.
khoa học kỹ thuật	() science and technology.
khoa học lao động	(dtừ) ergonomics.
khoa học luận	() epistemology.
khoa học nghiên cứu dụng cụ	(dtừ) instrumentation.
khoa học nhân văn	() human sciences.
khoa học quân sự	(dtừ) military science.
khoa học thống kê	(dtừ) statistics.
khoa học thư viện	(dtừ) library science.
khoa học thường thức	() popular science.
khoa học thực nghiệm	() experimental science.
khoa học tự nhiên	() natural sciences.
khoa học và văn hóa của liên hiệp quốc	(dtừ) unesco.
khoa học về đá	(dtừ) lithology.
khoa học về loài	(dtừ) speciology.
